C0151714	hypermagnesemia
C1096117	off label use
C0235678	vaginal odour
C0240173	shift to the left
C0405124	umbilical cord around neck
C0853936	complication of device removal
C0156637	antepartum haemorrhage
C0853115	lymphocyte morphology abnormal
C0948176	blood beta-d-glucan increased
C1297885	open reduction of fracture
C0861099	analgesic drug level increased
C2267233	hypotonia neonatal
C0375026	chlamydial infection
C0854164	urethral stricture
C0405106	retained placenta or membranes
C0157154	artificial rupture of membranes
C0269806	failed induction of labour
C0581118	ultrasound scan abnormal
C0948588	lymphangiosis carcinomatosa
C0549400	apgar score low
C0231254	body mass index increased
C0078888	accelerated idioventricular rhythm
C0158835	chorioamnionitis
C0857347	laparotomy
C0278689	ovarian cancer recurrent
C0235315	faeces discoloured
C0178324	vascular injury
C0221278	anisocytosis
C0424786	postoperative fever
C0854684	abortion induced
C0853081	somatoform disorder
C0410653	atlantoaxial instability
C0156672	pre-eclampsia
C0392536	induced abortion failed
C0151738	large intestine perforation
C0429480	foetal heart rate deceleration
C0408543	joint surgery
C1285373	respiratory disorder neonatal
C0862145	angioimmunoblastic t-cell lymphoma
C1261962	gastrointestinal erosion
C0392534	ruptured ectopic pregnancy
C0860184	ileostomy
C0241601	uterine tenderness
C0339959	pneumonia chlamydial
C0266617	facial dysmorphism
C0858343	pco2 increased
C0346989	metastases to peritoneum
C0013420	uterine contractions abnormal
C0007867	cervix disorder
C0038187	starvation
C0276908	pneumocystis jiroveci infection
C0546884	hypovolaemia
C0239233	early satiety
C0239234	low set ears
C1611171	thalamic infarction
C0153646	malignant neoplasm of spinal cord
C0349478	neonatal anoxia
C0340220	tracheal haemorrhage
C0017920	glucose-6-phosphate dehydrogenase deficiency
C0277843	tinel's sign
C1096562	peptostreptococcus infection
C1096563	post procedural discomfort
C0235924	coagulation factor decreased
C0265997	congenital nail disorder
C0276226	encephalitis herpes
C0002624	retrograde amnesia
C1142140	pseudomonal bacteraemia
C1262104	urinary tract infection pseudomonal
C0410916	death neonatal
C0271899	normochromic normocytic anaemia
C0438216	blood count abnormal
C0410919	bradycardia foetal
C0042139	uterine perforation
C0242342	postpartum hypopituitarism
C0877406	performance status decreased
C0302823	victim of crime
C0853958	blood creatine phosphokinase mb increased
C0263390	lichen myxoedematosus
C0156714	premature labour
C0042135	uterine atony
C0597457	skeletal injury
C0581315	infected bunion
C0159066	abdominal rigidity
C0332601	cushingoid
C0264733	dilatation ventricular
C1699018	device malfunction
C0855735	biopsy site unspecified abnormal
C0016770	frustration
C0344709	right atrial dilatation
C0919899	ascites infection
C0743668	limb injury
C1141896	congenital mitochondrial cytopathy
C1868764	umbilical hernia perforation
C1096249	aortic calcification
C0035243	Respiratory tract infection
C0860239	catheter related infection
C0026916	mycobacterium avium complex infection
C0919625	blood phosphorus increased
C0861111	cardioactive drug level increased
C0233401	Psychiatric symptom
C0920646	renal ischaemia
C0232159	pedal pulse abnormal
C0920569	hepatic ischaemia
C0853857	cellulitis staphylococcal
C0198667	adhesion
C0426551	vocal cord cyst
C0521503	injection site burning
C0867389	chronic graft versus host disease
C0267951	pancreatolithiasis
C0205721	nosocomial infection
C1112200	accidental needle stick
C1868717	psychiatric symptom
C2363888	intestinal anastomosis complication
C1536013	incorrect dose administered
C0265911	pulmonary artery stenosis
C1608950	device dislocation
C0001622	hyperadrenalism
C1735632	hepatic congestion
C0008909	claustrophobia
C1096491	acquired haemophilia
C0409497	joint injury
C0235378	hepatotoxicity
C0235490	peripheral ischaemia
C0027583	nematodiasis
C0948296	ear discomfort
C0014268	enema administration
C0520561	small intestinal haemorrhage
C1297929	breast hyperplasia
C0919874	post procedural haemorrhage
C1328312	intestinal polyp
C0851564	immune system disorder
C1096514	blood ph decreased
C0021931	feeding tube insertion
C0008728	allergic granulomatous angiitis
C1619712	procedural pain
C0017164	enterostomy
C0948537	dental prosthesis placement
C0154476	dependence
C0521853	drug tolerance increased
C0004763	barrett's oesophagus
C0003493	aortic disorder
C1328352	catheter bacteraemia
C0861351	breast cancer in situ
C0948340	lymphocyte percentage
C0004364	autoimmune disorder
C0549202	skin chapped
C0007398	catatonia
C0277919	venous stasis
C0877013	restrictive pulmonary disease
C1168006	alpha tumour necrosis factor increased
C0085129	bronchial hyperactivity
C1290071	oral mucosal disorder
C0852741	bunion operation
C1112354	vocal cord inflammation
C0192818	caecum operation
C0341335	cytomegalovirus colitis
C0522255	cervical root pain
C0022729	klebsiella infection
C0017125	gastric bypass
C1142397	myoglobinaemia
C0855786	mean cell haemoglobin
C0162770	right ventricular hypertrophy
C0852666	cervical laser therapy
C0344315	depressed mood
C1610605	graft versus host disease
C0243001	abdominal abscess
C1144799	hypertensive cardiomyopathy
C0034088	pulmonary valve incompetence
C0919648	spleen congestion
C2607914	Rhinitis allergic
C1739372	acute graft versus host disease
C1167791	skin toxicity
C0153567	uterine cancer
C0877048	oral fungal infection
C0854145	feeding disorder
C1142080	injection site stinging
C0375974	intestinal stoma
C0686083	small intestine carcinoma
C1141926	abdominal sepsis
C1963927	transmission of an infectious agent via a medicinal product
C0852057	arterial disorder
C0190188	coronary artery surgery
C0029453	osteopenia
C0410256	muscle injury
C0231856	breath sounds abnormal
C0339916	viral upper respiratory tract infection
C1112295	medical observation
C0549357	abdominal adhesions
C2363731	oropharyngeal pain
C0854082	blood prolactin increased
C0392196	injection site urticaria
C0547000	joint lock
C0221406	cushing's syndrome
C1262025	intraocular pressure test
C0262374	anal stenosis
C0877133	cytomegalovirus enteritis
C0745527	klebsiella bacteraemia
C0239946	hepatic fibrosis
C0263492	ingrown hair
C0011265	senile dementia
C0340608	renal artery thrombosis
C0278718	chronic lymphocytic leukaemia stage 0
C0851744	hepatocellular damage
C0859032	moaning
C0424489	chapped lips
C0948120	hepatic siderosis
C1096333	meniscus operation
C0152517	Viral diarrhoea
C0151731	hepatic infarction
C0862729	thymoma
C0020457	diabetic hyperosmolar coma
C0694541	hypertensive cardiomegaly
C0396141	nasal septal operation
C0856120	multiple sclerosis relapse
C0155652	acute myocardial infarction
C0854504	enterococcal bacteraemia
C0278838	prostate cancer recurrent
C0235812	vitritis
C0022107	Irritability
C1167728	viral haemorrhagic cystitis
C0152098	coeliac artery compression syndrome
C0152413	pneumonia respiratory syncytial viral
C0919914	postoperative abscess
C0877256	impaired driving ability
C0856305	stress
C0030662	gambling
C0455990	hydrops foetalis
C1096075	enterococcal infection
C0860210	granulomatous liver disease
C0549487	wrong drug administered
C0152965	staphylococcal bacteraemia
C0853225	international normalised ratio increased
C0853223	activated partial thromboplastin time prolonged
C0853714	application site pruritus
C0282160	aplasia cutis congenita
C0040441	tooth fracture
C0426390	bladder spasm
C0002902	anencephaly
C0396849	mitral valve repair
C0851043	lipids increased
C0919582	sudden onset of sleep
C0033247	proctocolitis
C0521495	application site rash
C0162823	Dermatitis contact
C0038017	spondylolisthesis
C0877217	abasia
C0877211	general physical health deterioration
C0521490	application site irritation
C0521491	application site pain
C0587094	breast calcifications
C0853017	blood human chorionic gonadotropin increased
C0158915	large for dates baby
C0158288	lumbar spinal stenosis
C0221365	double ureter
C0267574	hypertrophic anal papilla
C0178391	breast prosthesis implantation
C0919799	heparin-induced thrombocytopenia
C0264303	laryngomalacia
C0877192	lipodystrophy acquired
C0239454	erythema of eyelid
C1167782	lung hyperinflation
C0577053	hepatic lesion
C0520817	physical disability
C0231687	gait spastic
C0158266	intervertebral disc degeneration
C1262070	mass excision
C0436503	chest x-ray abnormal
C1325847	Sensitisation
C1504458	cataract operation
C0852763	biopsy lymph gland
C0700632	endodontic procedure
C0007971	Cheilitis
C0877098	application site dryness
C1868802	central venous catheter removal
C1610614	micrographic skin surgery
C0520893	localised exfoliation
C0009733	oesophageal atresia
C0191925	mammoplasty
C0520589	vulvovaginal dryness
C0677500	Pain
C0349782	ischaemic cardiomyopathy
C0392109	congenital tracheomalacia
C1610049	application site exfoliation
C0011548	dependent personality disorder
C1740800	expired drug administered
C1384670	single umbilical artery
C0233844	clumsiness
C0011370	dental implantation
C0018821	cardiac operation
C0040588	tracheo-oesophageal fistula
C1527358	Photosensitivity reaction
C1142257	incision site pain
C0853700	application site erythema
C0191909	breast prosthesis removal
C0191275	skin operation
C1504434	therapeutic response unexpected with drug substitution
C0023510	white blood cell disorder
C0343404	morganella infection
C0424641	body height decreased
C0919892	blood pressure inadequately controlled
C0524812	intracranial hypotension
C1963899	gastroduodenitis
C0152110	meralgia paraesthetica
C0856891	application site dermatitis
C0158439	osteitis deformans
C0267003	abscess oral
C0005976	bone graft
C0877144	spontaneous penile erection
C1328548	breast cancer stage i
C0423729	painful respiration
C0521505	injection site dermatitis
C0851429	urinary tract disorder
C0920086	limb operation
C1536011	wrong technique in drug usage process
C1744601	heart rate abnormal
C1536017	food interaction
C0406519	infected skin ulcer
C0877325	anal sphincter atony
C1095927	narcotic intoxication
C0743089	perivascular dermatitis
C0023760	lip disorder
C2242708	hypertransaminasaemia
C0743150	diabetic ulcer
C0596793	intracranial haematoma
C0853960	bacterial disease carrier
C0458224	piriformis syndrome
C0151994	uterine enlargement
C0852875	eye allergy
C0186666	rotator cuff repair
C1142503	anticonvulsant drug level decreased
C0877371	antiphospholipid antibodies positive
C0235346	gingival erosion
C0919636	spinal fusion surgery
C0435492	fractured sacrum
C1610056	antinuclear antibody increased
C1167841	obesity surgery
C0877153	neutropenic sepsis
C0877018	pituitary enlargement
C0392184	hangover
C0853683	kidney infection
C0154400	psychotic behaviour
C0028961	oliguria
C0238074	cor pulmonale chronic
C0221725	bronchial obstruction
C0270736	essential tremor
C0281980	skin injury
C1095952	surgery
C0016664	stress fracture
C0854303	limb discomfort
C0234022	anorgasmia
C2242480	residual urine
C1262010	post lumbar puncture syndrome
C0919644	blast crisis in myelogenous leukaemia
C0554640	lipoma excision
C1112210	catheter site infection
C0854121	gastrointestinal motility disorder
C2609421	eyelid retraction
C1168170	poor dental condition
C0851811	small intestinal stenosis
C0267373	intestinal haemorrhage
C1504438	cerebral artery stenosis
C0178316	upper limb fracture
C0185221	bone debridement
C0862008	mantle cell lymphoma
C0740353	bone scan abnormal
C0205204	scab
C0241069	skin erosion
C0743733	eye laser surgery
C2363953	intrathecal pump insertion
C1963737	radiation necrosis
C0393761	middle insomnia
C0852833	tooth repair
C0152250	migratory thrombophlebitis
C0920129	dental prosthesis user
C0949059	polyp colorectal
C0263884	cervical neuritis
C1611706	myosclerosis
C0221714	injection site infection
C0155938	malocclusion
C0005887	body dysmorphic disorder
C0919792	walking aid user
C0191958	lip operation
C0549369	pancreatic enzymes increased
C0279530	bone neoplasm malignant
C0185131	bone operation
C1096048	scan bone marrow abnormal
C0206632	angiolipoma
C0854479	device failure
C1141862	therapy regimen changed
C0259799	punctate keratitis
C0919590	injection site cellulitis
C0522248	analgesia
C0740765	activities of daily living impaired
C0242891	tooth injury
C0235146	euphoric mood
C1167765	wound infection staphylococcal
C0860554	spinal column stenosis
C0152964	streptococcal bacteraemia
C0034103	pulpitis dental
C0232766	asterixis
C0037926	spinal cord compression
C1096652	immunodeficiency
C0030283	pancreatic cyst
C0854732	dementia alzheimer's type
C0700251	brachial plexopathy
C0034882	Anorectal disorder
C0920111	urine bilirubin increased
C3489393	Hiatus hernia
C0341212	gastrointestinal fistula
C0853023	blood parathyroid hormone increased
C0853374	positive rombergism
C0040249	tinea blanca
C0678033	metastatic uterine cancer
C0005956	bone marrow disorder
C0699893	Skin cancer
C0151936	tendon disorder
C0852110	lower respiratory tract infection viral
C0007587	cell death
C0003621	appetite disorder
C0022410	joint instability
C0041312	tuberculosis gastrointestinal
C0041601	ulna fracture
C2363768	drug delivery system malfunction
C0205707	Malabsorption
C0948099	cytomegalovirus test positive
C0150457	anticoagulant therapy
C1963717	sleep-related eating disorder
C1704272	Benign prostatic hyperplasia
C1262178	diffuse large b-cell lymphoma
C0417742	bite
C0038531	steal syndrome
C0853598	blood cortisol abnormal
C0877398	anaemia postoperative
C0238663	antimitochondrial antibody positive
C0855116	b-cell lymphoma stage iv
C0241185	smooth muscle antibody positive
C1963786	quality of life decreased
C0232495	Abdominal pain lower
C1112207	fascial infection
C0269268	breast induration
C0153658	endocrine neoplasm malignant
C0521592	hypoaesthesia oral
C0878773	hypertonic bladder
C0024441	macular hole
C0877417	cytomegalovirus enterocolitis
C0241166	skin tightness
C0154731	glossopharyngeal neuralgia
C0278498	metastatic gastric cancer
C0019156	venoocclusive liver disease
C0745528	klebsiella sepsis
C1737228	mixed hepatocellular-cholestatic injury
C0392494	hypertrophy of tongue papillae
C0549405	blood pressure fluctuation
C0231529	tendon pain
C0233637	illogical thinking
C0919750	nodule on extremity
C0016662	open fracture
C0018196	laryngeal granuloma
C0011407	dental necrosis
C0853760	blood potassium increased
C0555971	oral infection
C0877117	cytomegalovirus gastritis
C0399461	oral mucosa erosion
C0025320	Menopause
C0032226	pleural disorder
C0577631	carotid arteriosclerosis
C0151736	Injury
C0340971	autoimmune neutropenia
C1096532	vascular pseudoaneurysm
C1697540	infusion site mobility decreased
C0158371	osteomyelitis acute
C2697368	Gastrointestinal tract irritation
C0846967	acanthoma
C0854358	purulence
C1303192	vertebroplasty
C0162638	apoptosis
C0263105	abdominal wall abscess
C0232720	faeces pale
C0151664	gastrointestinal perforation
C0341702	fanconi syndrome
C0014236	Panophthalmitis
C0341318	enterocutaneous fistula
C0001349	acute phase reaction
C0342245	diabetic eye disease
C0860805	urine ketone body present
C0021655	insulin resistance
C0031547	phlebolith
C1698446	infusion site haematoma
C0026069	middle lobe syndrome
C2242498	haemorrhagic hepatic cyst
C2711248	Osteonecrosis of jaw
C0392618	postoperative infection
C0349790	Asthma
C0342649	vascular calcification
C0016655	multiple fractures
C0853701	blood immunoglobulin g increased
C1504373	bowel movement irregularity
C0853890	blood gastrin increased
C0425791	peau d'orange
C1739104	acute graft versus host disease in liver
C1963985	vasoconstriction
C0188412	ankle operation
C0023218	Muscle spasms
C0555026	marital problem
C0159060	bowel sounds abnormal
C1736184	peripheral arterial occlusive disease
C0558401	skin laceration
C0013203	drug resistance
C1096139	blood 1,25-dihydroxycholecalciferol decreased
C0241729	weight fluctuation
C0948238	erectile dysfunction
C0193438	gallbladder operation
C0863170	foreign body trauma
C0855967	scan lymph nodes
C0853326	dyspnoea exacerbated
C0263109	groin abscess
C0333559	lacunar infarction
C0272423	ear injury
C0311245	congenital cystic kidney disease
C0920149	bone densitometry
C0196576	carpal tunnel decompression
C0235807	hair texture abnormal
C1142438	serratia bacteraemia
C0948486	acquired oesophageal web
C0435632	hand fracture
C0345176	tongue cyst
C0033075	presbyopia
C0193277	salivary gland operation
C0021932	endotracheal intubation
C1619718	partner stress
C0853562	scan myocardial perfusion
C0521498	injection site irritation
C0947978	therapeutic procedure
C1142117	adnexa uteri pain
C1096197	immune reconstitution syndrome
C0042929	vocal cord polyp
C0476281	non-cardiac chest pain
C0852740	breast lump removal
C1698766	anal cancer
C1292777	natural killer-cell leukaemia
C0154834	retinal microaneurysms
C0410647	spinal claudication
C0262544	lumbar vertebral fracture
C2363915	cerebellar ischaemia
C0011432	sensitivity of teeth
C0015674	chronic fatigue syndrome
C0854270	conjunctival abrasion
C0860955	biopsy breast
C0729958	lung transplant
C0235827	therapeutic response decreased
C1695984	oesophageal food impaction
C1168144	anticoagulation drug level above therapeutic
C0549475	lipase
C0740307	biopsy liver abnormal
C0740308	sigmoidoscopy abnormal
C0854112	cerebral circulatory failure
C0155499	meniere's disease
C0855756	protein total abnormal
C0007766	intracranial aneurysm
C1328308	increased upper airway secretion
C0393711	seizure anoxic
C0271240	blindness unilateral
C0853040	reaction to drug excipient
C0086439	decreased activity
C0017150	gastrinoma
C1737211	hypoglycaemic unconsciousness
C0856414	dextrocardia
C0853415	biopsy bone abnormal
C0035238	respiratory tract malformation
C1608411	neutralising antibodies
C1388177	aortic arteriosclerosis
C2242529	stem cell transplant
C0155760	arterial rupture
C1142087	vitamin b1 increased
C0677957	non-hodgkin's lymphoma stage ii
C0267176	diabetic gastroparesis
C0857836	jc virus infection
C0193173	prolapse repair
C2242636	inhibitory drug interaction
C0919620	electrocardiogram st-t change
C0424024	delusional perception
C0855968	lymph nodes scan abnormal
C0149699	fibula fracture
C0189817	cardiac pacemaker insertion
C0234944	injection site anaesthesia
C0860513	bone swelling
C1328381	chronic left ventricular failure
C0855685	aspiration joint
C0853737	blood bicarbonate
C0024884	radical mastectomy
C0948478	oral polypectomy
C0854050	glomerular filtration rate abnormal
C1328351	oral mucosal hypertrophy
C0476405	pulmonary function test abnormal
C0947973	vascular insufficiency
C0520854	mean arterial pressure decreased
C1868877	mechanical ventilation
C1272092	impaired fasting glucose
C0542261	chromatopsia
C0920064	platelet transfusion
C0346979	metastases to bone marrow
C1112180	refusal of treatment by relative
C0442951	thoracotomy
C0542153	platelet aggregation increased
C0919578	idiosyncratic drug reaction
C0341503	peritonitis bacterial
C0853629	blood triglycerides
C0852630	cns ventriculitis
C0333271	bloody discharge
C0158280	cervical spinal stenosis
C0577730	family stress
C0204600	drug detoxification
C0036347	schizophrenia, disorganised type
C0555358	morbid thoughts
C0034642	crackles lung
C0740281	multiple allergies
C0856127	micturition disorder
C0312420	hypersexuality
C0877168	haematocrit abnormal
C1337035	xanthogranuloma
C0948240	thyroxine free decreased
C0858833	endometrial hypertrophy
C0020474	mixed hyperlipidaemia
C0333313	primary sequestrum
C0149844	brain contusion
C0014059	acute disseminated encephalomyelitis
C1444077	bone abscess
C0270897	erb's palsy
C0191846	aspiration breast
C1510477	biopsy endometrium
C1321686	faecaloma
C0861651	oesophageal adenocarcinoma
C2609419	bronchoalveolar lavage
C0549418	urine flow decreased
C0004991	benign colonic neoplasm
C0852956	cerebral arteriovenous malformation haemorrhagic
C0700345	vulvovaginal candidiasis
C0860850	oestradiol decreased
C0019333	umbilical hernia repair
C0877343	menopausal symptoms
C0847978	prostatomegaly
C0919808	hearing aid user
C0521169	compression fracture
C0549397	nasal septum deviation
C1112251	feeding tube complication
C0343084	capillary leak syndrome
C0155967	ulcer haemorrhage
C0154782	hypotony of eye
C0264492	chronic respiratory failure
C1608985	high frequency ablation
C1392046	cardiovascular insufficiency
C1963759	apparent death
C0029529	calculus bladder
C0041954	ureteral disorder
C0883301	catheter placement
C0677658	breast disorder female
C0197494	scleral operation
C0267158	reflux gastritis
C0159321	facial bones fracture
C0857801	inappropriate schedule of drug administration
C0239296	oesophageal obstruction
C0267028	lip pain
C0524861	oral surgery
C0853439	biopsy mucosa abnormal
C0149836	atrophic vulvovaginitis
C0521530	lung consolidation
C0877009	muscle fibrosis
C1112669	tobacco user
C0403265	epididymal cyst
C0040336	tobacco abuse
C0259813	drop attacks
C0233681	delusion of grandeur
C0521235	varicose vein operation
C0156318	breast fibrosis
C0027741	nerve block
C0856161	intravenous catheter management
C0853546	positron emission tomogram abnormal
C0342095	breast haematoma
C1536055	drug administration error
C0851748	gastric disorder
C0277897	central venous pressure decreased
C0241148	skin plaque
C0407713	jaw operation
C0177646	finger amputation
C0009918	joint contracture
C0001263	abdominal infection
C1608397	device occlusion
C1112396	eye operation
C1095988	brain natriuretic peptide increased
C0009595	obsessive-compulsive personality disorder
C0037223	situs inversus
C0596611	gene mutation
C0419323	endoscopy
C0852766	biopsy lymph gland abnormal
C0015787	female sterilisation
C0855235	feelings of worthlessness
C0022078	iris disorder
C0026644	edentulous
C0455012	blood product transfusion
C1956414	cardiac asthma
C0343357	gastroenteritis escherichia coli
C0003949	asbestosis
C1096101	compression stockings application
C0948011	cervix haemorrhage uterine
C0948549	medical device removal
C0035508	rhonchi
C2609232	product counterfeit
C0877854	cerebral arteriosclerosis
C1141868	computerised tomogram abdomen abnormal
C0856304	abscess drainage
C1697454	pelvic fluid collection
C2607947	deafness unilateral
C0019087	haemorrhagic diathesis
C0855273	bacteria tissue specimen identified
C0750053	vaginal abscess
C0855327	ejection fraction abnormal
C0162279	choroidal detachment
C0269190	metaplasia
C0853314	soft tissue inflammation
C0011551	depersonalisation
C0855637	androgens decreased
C0014854	diverticulum oesophageal
C0854253	pulmonary radiation injury
C0188413	foot operation
C0266642	heterotaxia
C0851965	rectal ulcer
C0854146	blood test abnormal
C1168145	anticoagulation drug level below therapeutic
C1328331	hospitalisation
C0151946	pulmonary thrombosis
C0948991	injection site discolouration
C0206754	neuroendocrine tumour
C0409679	seronegative arthritis
C0085278	antiphospholipid syndrome
C1141949	troponin i increased
C0269131	female genital tract fistula
C0877359	Liver function test abnormal
C1141957	disease progression
C0232431	cold sweat
C0086565	Hepatic function abnormal
C0270971	congenital floppy infant
C0231441	immobile
C0549379	recurrent cancer
C1112233	fungus culture positive
C1328379	bronchoalveolar lavage abnormal
C0854108	haemorrhage subepidermal
C0086541	leishmaniasis
C0520888	electrocardiogram t wave inversion
C0852625	injection site erythema
C0549493	Alveolitis
C0278016	Faeces hard
C0023380	Lethargy
C0442845	glomerulosclerosis
C0542120	injection site nodule
C0919872	drug exposure via breast milk
C0010308	congenital hypothyroidism
C0553681	Hypofibrinogenaemia
C1735647	mixed liver injury
C2242642	engraft failure
C0032788	operative haemorrhage
C0242707	right ventricular dysfunction
C0040809	refusal of treatment by patient
C0476327	Amylase increased
C0151683	neutrophilia
C0085628	Depressed level of consciousness
C0278106	ejaculation failure
C0877065	anticonvulsant drug level below therapeutic
C0877064	cerebral ventricle dilatation
C0233571	Agitation
C0032606	polysubstance dependence
C0262988	cutaneous vasculitis
C1868710	bronchial secretion retention
C0159039	Ecchymosis
C0021167	Incontinence
C0020639	hypoproteinaemia
C3251821	Catatonia
C0000729	Abdominal pain
C0015624	Renal tubular disorder
C1141877	anticonvulsant drug level increased
C0151479	Amylase increased
C0001807	Aggression
C0085315	cerebral toxoplasmosis
C0015696	fatty liver alcoholic
C0151654	myocardial fibrosis
C0004352	Autism
C0233514	Abnormal behaviour
C0270846	atonic seizures
C0854631	cord blood transplant therapy
C1510586	autism spectrum disorder
C0400263	perianal abscess
C0861143	granulocyte count decreased
C0155973	gastric ulcer haemorrhage
C0861112	cardioactive drug level
C0233794	Memory impairment
C0235970	endocardial fibrosis
C0548823	Abdominal discomfort
C0241128	nikolsky's sign
C0232910	teratogenicity
C2242536	gastric perforation
C0948393	oedematous pancreatitis
C1868980	Drug interaction
C1095960	patient restraint
C0423086	staring
C0014431	Enzyme induction
C0851453	cranial nerve disorder
C2225524	Breast enlargement
C1383860	cardiac hypertrophy
C0151315	Nuchal rigidity
C0031085	Tooth abscess
C0877331	abnormal clotting factor
C0553576	systemic mycosis
C0151631	red blood cell sedimentation rate decreased
C0270191	intraventricular haemorrhage neonatal
C0438235	liver function test
C0919747	cytokine storm
C0851579	factitious disorder
C1262012	bacteria urine
C0240059	intraventricular haemorrhage
C0080178	spina bifida
C1262156	herpes simplex serology positive
C0948981	delusional disorder, persecutory type
C0877517	blood phosphorus decreased
C0236780	affective disorder
C0948526	angiogram cerebral abnormal
C0151599	Drug level increased
C1760428	suicidal behaviour
C0948413	medication residue
C0151529	bleeding time prolonged
C0151773	bone marrow depression
C0004930	Abnormal behaviour
C0021364	infertility male
C0854903	oligodendroglioma
C0031315	phantom pain
C0542224	Visual impairment
C0020039	Hostility
C0015459	face injury
C0872380	food craving
C0858254	complex partial seizures
C0853118	blood testosterone increased
C0877635	cytomegalovirus viraemia
C0231530	Muscle twitching
C0013447	Ear disorder
C0206019	aids encephalopathy
C0497201	abnormal sensation in eye
C0851536	administration site reaction
C0851535	prostatic disorder
C0235821	therapeutic response increased
C0151559	Depressed level of consciousness
C0162164	pulmonary valve stenosis
C0037317	Sleep disorder
C0039242	tachyphylaxis
C0750931	arnold-chiari malformation
C0016867	Furuncle
C0392171	Influenza like illness
C0344783	atrioventricular septal defect
C0426498	tongue dry
C0025517	Metabolic disorder
C0233414	Disturbance in attention
C0687133	Drug interaction
C0024138	Cutaneous lupus erythematosus
C0438254	urine electrolytes abnormal
C0151872	prothrombin level increased
C0002886	Anaemia macrocytic
C0232940	Amenorrhoea
C1869091	ejection fraction
C0151883	Rash pustular
C0158775	spine malformation
C0424295	Agitation
C0857576	Thyroid function test abnormal
C0236101	Neonatal disorder
C0272315	Coagulation factor decreased
C0270823	Petit mal epilepsy
C0311277	abdominal obesity
C0153767	hodgkin's disease
C0002873	anaemia of chronic disease
C0186321	shoulder operation
C0740311	mammogram
C0009766	conjunctivitis allergic
C0035326	retinal vascular occlusion
C0850572	colon adenoma
C0919712	occult blood
C0860875	oesophagoscopy abnormal
C0678201	ileitis
C0948179	postoperative constipation
C1096216	oestrogen receptor assay positive
C1737265	non-hodgkin's lymphoma
C1096353	sweat gland infection
C0344720	left atrial dilatation
C0853026	porphyria non-acute
C0853755	blood osmolarity decreased
C0403200	scrotal abscess
C0262985	dermatitis psoriasiform
C0340238	bronchial infection
C1868824	ovarian adhesion
C0476369	echocardiogram abnormal
C0236747	mood disorder due to a general medical condition
C0236748	anxiety disorder
C2242576	oropharyngeal blistering
C0016397	localised infection
C0948246	drug screen
C0855264	delusional disorder, unspecified type
C0862230	peripheral t-cell lymphoma unspecified
C0234630	tunnel vision
C0740391	cerebral artery occlusion
C0032134	plasmapheresis
C1536052	oral mucosal exfoliation
C0521854	drug tolerance
C0730345	microalbuminuria
C1096106	wound complication
C1141933	multi-organ disorder
C0406855	graft infection
C0188602	toe amputation
C1096218	progesterone receptor assay
C0877511	precancerous skin lesion
C0015395	eye burns
C0948241	thyroxine free increased
C0524852	orthopedic procedure
C0341012	oral herpes
C0853847	pathogen resistance
C0149662	toe deformity
C0178874	neoplasm progression
C0079487	helicobacter infection
C1535987	vascular graft complication
C0426747	anal haemorrhage
C0425241	homeless
C0162670	mitochondrial myopathy
C0264523	pulmonary calcification
C1322253	eczema infected
C1328411	post procedural haematoma
C0542211	postoperative renal failure
C0863153	bilirubinuria
C0337629	economic problem
C1619705	periarthritis
C0016385	cardiac flutter
C0853474	biopsy skin
C0741921	cardiac enzymes increased
C0853501	scan abdomen abnormal
C0575507	rib deformity
C1868740	conjunctival primary acquired melanosis
C1334715	metastatic carcinoid tumour
C0151671	glucose tolerance decreased
C0038044	spousal abuse
C0859681	pyelonephritis acute
C0919924	pulmonary toxicity
C1096370	cardiac stress test
C0037301	skin wrinkling
C0553718	renal artery occlusion
C0397942	aortic aneurysm repair
C0158337	synovial rupture
C0742078	brain mass
C1142172	incision site complication
C0043202	wolff-parkinson-white syndrome
C1698397	incision site infection
C1112525	gastrointestinal ulcer haemorrhage
C0154833	retinal vascular disorder
C0003506	aortic valve replacement
C0236033	muscle hypertrophy
C0158281	cervicobrachial syndrome
C0855237	social avoidant behaviour
C0008707	osteomyelitis chronic
C0438397	skin graft failure
C1299539	scrotal infection
C1112436	qrs axis abnormal
C0546956	onychoclasis
C1963788	peripheral nerve lesion
C0007863	occipital neuralgia
C2609160	cardiac septal defect
C0423701	urinary tract pain
C1142287	ventricular hypokinesia
C0154038	benign neoplasm of thyroid gland
C0085532	arteriogram coronary
C1096302	vertebral column mass
C0877038	electrocardiogram poor r-wave progression
C1112758	infective exacerbation of chronic obstructive airways disease
C0161398	optic nerve injury
C0333516	tumour necrosis
C0919664	paresis cranial nerve
C0085394	serratia infection
C0853226	international normalised ratio decreased
C0584960	factor v leiden mutation
C0852896	retinal tear
C1828210	maculopathy
C0919715	lupus-like syndrome
C0236788	bipolar ii disorder
C0553686	brain herniation
C0020510	nodular regenerative hyperplasia
C0154774	endophthalmitis
C0154816	retinoschisis
C1328286	foaming at mouth
C0855107	burkitt's lymphoma
C1695691	wound infection
C0854698	malignant melanoma stage i
C1504437	life expectancy shortened
C0003534	aphakia
C1142470	suture related complication
C0029464	osteosclerosis
C0042903	vitrectomy
C0162301	calculus urethral
C0857575	haemoglobin abnormal
C2609246	product quality issue
C0948284	corneal decompensation
C0853959	device breakage
C1112615	skin neoplasm excision
